                              title                               |           sub_title            | title_id |   category   |          series_title          | episode_position | season | season_position | episode_code | wanting 
 Avatar                                                           |                                |     3624 | SERIES       | Highlander                     |                0 | 6      |               1 |              | 
 Armageddon                                                       |                                |     3625 | SERIES       | Highlander                     |                0 | 6      |               2 |              | 
 Sins of the Father                                               |                                |     3626 | SERIES       | Highlander                     |                0 | 6      |               3 |              | 
 Diplomatic Immunity                                              |                                |     3888 | SERIES       | Highlander                     |                0 | 6      |               4 |              | 
 Patient Number 7                                                 |                                |     3889 | SERIES       | Highlander                     |                0 | 6      |               5 |              | 
 Black Tower                                                      |                                |     3936 | SERIES       | Highlander                     |                0 | 6      |               6 |              | 
 Unusual Suspects                                                 |                                |     3904 | SERIES       | Highlander                     |                0 | 6      |               7 |              | 
 Justice                                                          |                                |     3905 | SERIES       | Highlander                     |                0 | 6      |               8 |              | 
 Deadly Exposure                                                  |                                |     3906 | SERIES       | Highlander                     |                0 | 6      |               9 |              | 
 Two of Hearts                                                    |                                |     3937 | SERIES       | Highlander                     |                0 | 6      |              10 |              | 
 Indiscretions                                                    |                                |     3938 | SERIES       | Highlander                     |                0 | 6      |              11 |              | 
 To Be                                                            |                                |     3939 | SERIES       | Highlander                     |                0 | 6      |              12 |              | 
 Not To Be                                                        |                                |     3940 | SERIES       | Highlander                     |                0 | 6      |              13 |              | 
 Highlander                                                       |                                |     3105 | MOVIE        | Highlander                     |                0 |        |               0 |              | 
 bloopers                                                         |                                |     3523 | SERIES       | Highlander                     |                0 |        |               0 |              | 
(121 rows)

